Ceremony,Year
1st Academy Awards,1927
2nd Academy Awards,1928
3rd Academy Awards,1929
4th Academy Awards,1930
5th Academy Awards,1931
6th Academy Awards,1932
7th Academy Awards,1934
8th Academy Awards,1935
9th Academy Awards,1936
10th Academy Awards,1937
11th Academy Awards,1938
12th Academy Awards,1939
13th Academy Awards,1940
14th Academy Awards,1941
15th Academy Awards,1942
16th Academy Awards,1943
17th Academy Awards,1944
18th Academy Awards,1945
19th Academy Awards,1946
20th Academy Awards,1947
21st Academy Awards,1948
22nd Academy Awards,1949
23rd Academy Awards,1950
24th Academy Awards,1951
25th Academy Awards,1952
26th Academy Awards,1953
27th Academy Awards,1954
28th Academy Awards,1955
29th Academy Awards,1956
30th Academy Awards,1957
31st Academy Awards,1958
32nd Academy Awards,1959
33rd Academy Awards,1960
34th Academy Awards,1961
35th Academy Awards,1962
36th Academy Awards,1963
37th Academy Awards,1964
38th Academy Awards,1965
39th Academy Awards,1966
40th Academy Awards,1967
41st Academy Awards,1968
42nd Academy Awards,1969
43rd Academy Awards,1970
44th Academy Awards,1971
45th Academy Awards,1972
46th Academy Awards,1973
47th Academy Awards,1974
48th Academy Awards,1975
49th Academy Awards,1976
50th Academy Awards,1977
51st Academy Awards,1978
52nd Academy Awards,1979
53rd Academy Awards,1980
54th Academy Awards,1981
55th Academy Awards,1982
56th Academy Awards,1983
57th Academy Awards,1984
58th Academy Awards,1985
59th Academy Awards,1986
60th Academy Awards,1987
61st Academy Awards,1988
62nd Academy Awards,1989
63rd Academy Awards,1990
64th Academy Awards,1991
65th Academy Awards,1992
66th Academy Awards,1993
67th Academy Awards,1994
68th Academy Awards,1995
69th Academy Awards,1996
70th Academy Awards,1997
71st Academy Awards,1998
72nd Academy Awards,1999
73rd Academy Awards,2000
74th Academy Awards,2001
75th Academy Awards,2002
76th Academy Awards,2003
77th Academy Awards,2004
78th Academy Awards,2005
79th Academy Awards,2006
80th Academy Awards,2007
81st Academy Awards,2008
82nd Academy Awards,2009
83rd Academy Awards,2010
84th Academy Awards,2011
85th Academy Awards,2012
86th Academy Awards,2013
87th Academy Awards,2014
88th Academy Awards,2015
89th Academy Awards,2016
90th Academy Awards,2017
91st Academy Awards,2018
92nd Academy Awards,2019
