Ceremony,Year
92nd Academy Awards,2019
91st Academy Awards,2018
90th Academy Awards,2017
89th Academy Awards,2016
88th Academy Awards,2015
87th Academy Awards,2014
86th Academy Awards,2013
85th Academy Awards,2012
84th Academy Awards,2011
83rd Academy Awards,2010
82nd Academy Awards,2009
81st Academy Awards,2008
80th Academy Awards,2007
79th Academy Awards,2006
78th Academy Awards,2005
77th Academy Awards,2004
76th Academy Awards,2003
75th Academy Awards,2002
74th Academy Awards,2001
73rd Academy Awards,2000
72nd Academy Awards,1999
71st Academy Awards,1998
70th Academy Awards,1997
69th Academy Awards,1996
68th Academy Awards,1995
67th Academy Awards,1994
66th Academy Awards,1993
65th Academy Awards,1992
64th Academy Awards,1991
63rd Academy Awards,1990
62nd Academy Awards,1989
61st Academy Awards,1988
60th Academy Awards,1987
59th Academy Awards,1986
58th Academy Awards,1985
57th Academy Awards,1984
56th Academy Awards,1983
55th Academy Awards,1982
54th Academy Awards,1981
53rd Academy Awards,1980
52nd Academy Awards,1979
51st Academy Awards,1978
50th Academy Awards,1977
49th Academy Awards,1976
48th Academy Awards,1975
47th Academy Awards,1974
46th Academy Awards,1973
45th Academy Awards,1972
44th Academy Awards,1971
43rd Academy Awards,1970
42nd Academy Awards,1969
41st Academy Awards,1968
40th Academy Awards,1967
39th Academy Awards,1966
38th Academy Awards,1965
37th Academy Awards,1964
36th Academy Awards,1963
35th Academy Awards,1962
34th Academy Awards,1961
33rd Academy Awards,1960
32nd Academy Awards,1959
31st Academy Awards,1958
30th Academy Awards,1957
29th Academy Awards,1956
28th Academy Awards,1955
27th Academy Awards,1954
26th Academy Awards,1953
25th Academy Awards,1952
24th Academy Awards,1951
23rd Academy Awards,1950
22nd Academy Awards,1949
21st Academy Awards,1948
20th Academy Awards,1947
19th Academy Awards,1946
18th Academy Awards,1945
17th Academy Awards,1944
16th Academy Awards,1943
15th Academy Awards,1942
14th Academy Awards,1941
13th Academy Awards,1940
12th Academy Awards,1939
11th Academy Awards,1938
10th Academy Awards,1937
9th Academy Awards,1936
8th Academy Awards,1935
7th Academy Awards,1934
6th Academy Awards,1932
5th Academy Awards,1931
4th Academy Awards,1930
3rd Academy Awards,1929
2nd Academy Awards,1928
1st Academy Awards,1927
