Joseph Schildkr
Judy Holliday
Julia Roberts
Julianne Moore
Julie Andrews
Julie Christie
Karl Malden
Kate Winslet
Katharine Hepburn
Kathryn Bigelow
Kathy Bates
Kevin Costner
Kevin Kline
Kevin Spacey
Laurence Olivier
Lee Marvin
Leo McCarey
Leonardo DiCaprio
Lewis Milestone
Lionel Barrymore
Liza Minnelli
Loretta Young
Lou Gossett, Jr.
Louise Fletcher
Ludwig Göransson
Luise Rainer
Maggie Smith
Mahershala Ali
Marie Dressler
Marion Cotillard
Mark Rylance
Marlee Matlin
Marlon Brando
Martin Balsam
Martin Landau
Martin Scorsese
Mary Pickford
Matthew McConaughey
Maximilian Schell
Mel Gibson
Melvyn Douglas
Meryl Streep
Michael Caine
Michael Cimino
Michael Curtiz
Michael Douglas
Michel Hazanavicius
Mike Nichols
Miloš Forman
Morgan Freeman
Natalie Portman
Nicolas Cage
Nicole Kidman
Norma Shearer
Norman Taurog
Oliver Stone
Olivia Colman
Olivia de Havilland
Patricia Neal
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peter Finch
Peter Jackson
Peter Ustinov
Philip Seymour Hoffman
Rami Malek
Ray Milland
Red Buttons
Reese Witherspoon
Regina King
Renée Zellweger
Rex Harrison
Richard Attenborough
Richard Dreyfuss
Robert Benton
Robert De Niro
Robert Donat
Robert Duvall
Robert Redford
Robert Wise
Robert Zemeckis
Roberto Benigni
Robin Williams
Rod Steiger
Roman Polanski
Ron Howard
Ronald Colman
Russell Crowe
Ruth E. Carter
Sally Field
Sam Mendes
Sam Rockwell
Sandra Bullock
Sean Connery
Sean Penn
Shirley Booth
Shirley MacLaine
Sidney Poitier
Simone Signoret
Sissy Spacek
Sophia Loren
Spencer Tracy
Steven Soderbergh
Steven Spielberg
Susan Hayward
Susan Sarandon
Sydney Pollack
Thomas Mitchell
Tim Robbins
Timothy Hutton
Tom Hanks
Tom Hooper
Tommy Lee Jones
Tony Richardson
Van Heflin
Victor Fleming
Victor McLaglen
Vincente Minnelli
Vivien Leigh
Wallace Beery
Walter Brennan
Walter Huston
Walter Matthau
Warner Baxter
Warren Beatty
William Friedkin
William Holden
William Hurt
William Wyler
Woody Allen
Yul Brynner
