Maximilian Schell
Melvyn Douglas
Meryl Streep
Michael Caine
Michael Cimino
Michael Curtiz
Michael Douglas
Michel Hazanavicius
Mike Nichols
Miloš Forman
Morgan Freeman
Natalie Portman
Nicolas Cage
Nicole Kidman
Norma Shearer
Norman Taurog
Olivia Colman
Olivia de Havilland
Patricia Neal
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peter Finch
Peter Ustinov
Philip Seymour Hoffman
Ray Milland
Red Buttons
Reese Witherspoon
Renée Zellweger
Rex Harrison
Richard Dreyfuss
Robert Benton
Robert De Niro
Robert Donat
Robert Duvall
Robert Redford
Robert Wise
Roberto Benigni
Robin Williams
Rod Steiger
Ronald Colman
Russell Crowe
Sally Field
Sam Rockwell
Sandra Bullock
Sean Connery
Sean Penn
Shirley Booth
Shirley MacLaine
Sidney Poitier
Simone Signoret
Sissy Spacek
Sophia Loren
Spencer Tracy
Susan Hayward
Susan Sarandon
Thomas Mitchell
Tim Robbins
Timothy Hutton
Tom Hanks
Tom Hooper
Tommy Lee Jones
Tony Richardson
Van Heflin
Victor Fleming
Victor McLaglen
Vincente Minnelli
Vivien Leigh
Wallace Beery
Walter Brennan
Walter Huston
Walter Matthau
Warner Baxter
Warren Beatty
William Friedkin
William Holden
William Hurt
William Wyler
Woody Allen
Yul Brynner
