I. A. L. Diamond
Iain Canning
Ian Bryce
Ian Dalrymple
Ian Holm
Ian Hunter
Ian McKellen
Ian McLellan Hunter
Ian Tapp
Ian Whittaker
Ida Kaminska
Ida Random
Ido Ostrowsky
Ingmar Bergman
Ingo Preminger
Inoue Chikaya
Ira Gershwin
Ira S. Webb
Ira Wohl
Irene Cara
Irene Dunne
Irene Sharaff
Iris Yamashita
Irma von Cube
Irving Allen
Irving Berlin
Irving Cummings
Irving Ravetch
Irving Saraf
Irwin Allen
Irwin Kostal
Irwin Winkler
Isaac Hayes
Ismail Merchant
Isobel Lennart
István Szabó
Ivan Moffat
Ivan Sharrock
