Kaja Fehr
Kant Pan
Karel Černý
Karen Baker Landers
Karen Goodman
Karen O'Hara
Karen Rupert Toliver
Karl Freund
Karl Struss
Karl Tunberg
Kary Antholis
Kate Hudson
Katharine Ross
Kathleen Kennedy
Kathleen Quinlan
Kathy Lucas
Katie Spencer
Katina Paxinou
Katy Jurado
Kay Georgiou
Kay Medford
Kay Walsh
Kazuhiro Tsuji
Keiko Ibi
Keira Knightley
Keith Carradine
Keith Dorrington
Keith Forsey
Keith Redmon
Ken Adam
Ken Darby
Ken Muggleston
Ken Ralston
Ken Russell
Ken Thorne
Ken Weston
Kendrick Lamar
Kenneth A. Reid
Kenneth Branagh
Kenneth Lonergan
Kenneth Macgowan
Kenneth Smith
Kenneth Utt
Kenneth Webb
Kerrie Brown
Kerry Orent
Kevin F. Cleary
Kevin Feige
Kevin Haney
Kevin J. Walsh
Kevin Jarre
Kevin Macdonald
Kevin Mack
Kevin O'Connell
Kevin Tent
Kevin Willmott
Kieth Merrill
Kim Basinger
Kim Hunter
Kim Magnusson
Kim Sinclair
Kimberly Steward
King Vidor
Kirk Baxter
Kirk Douglas
Kirk Francis
Kirk Simon
Kit West
Klaus Mann
Klaus Maria Brandauer
Kobe Bryant
Konstantin Kalser
Kristen Anderson-Lopez
Kristi Zea
Kristie Macosko Krieger
Kristin Scott Thomas
Krysty Wilson-Cairns
Kunio Kato
Kurt Luedtke
Kurt Wimmer
