L. B. Abbott
Lady Gaga
Lajos Biro
Lalo Schifrin
Lamar Trotti
Larry Dias
Larry Gelbart
Larry Johnson
Larry Jost
Larry Kramer
Larry Lansburgh
Larry McMurtry
Larry Morey
Larry Parks
Larry Russell
Larry Stensvold
Lasse Hallström
Laura Bickford
Laura Dern
Laura Poitras
Lauren Beck
Laurence Bennett
Laurence Harvey
Laurence Mark
Laurence Rosenthal
Laurent Witz
Lawrence Bender
Lawrence Butler
Lawrence Hauben
Lawrence Kasdan
Lawrence Sher
Lawrence Turman
Leah Rhodes
Lee Daniels
Lee Garmes
Lee Grant
Lee J. Cobb
Lee Magiday
Lee Orloff
Lee Remick
Lee Smith
Lee Strasberg
Lee Unkrich
Leigh Harline
Leland Fuller
Leland Hayward
Lennie Hayton
Lenny Abrahamson
Leo F. Forbstein
Leo Robin
Leo Shuken
Leo Tolstoy
Leo Tover
Leon Barsacq
Leon Gast
Leon Shamroy
Leonard Bernstein
Leonard Frey
Leonard Peterson
Leonard Rosenman
Leonard Schrader
Leonard Smith
LeRoy Prinz
Leroy Stone
Les Bowie
Les Fresholtz
Les Goldman
Les Lazarowitz
Lesley Gore
Lesley Manville
Lesley Vanderwalt
Leslie Bricusse
Leslie Caron
Leslie Dilley
Leslie Ekker
Leslie Howard
Leslie I. Carey
Leslie Tomkins
Letty Aronson
Lew Ayres
Lewis R. Foster
Lewis Stone
Liam Neeson
Liam O'Brien
Lianne Halfon
Lila Kedrova
Lili Fini Zanuck
Lilia Skala
Lilly Kilvert
Lily Tomlin
Lincoln Kirstein
Linda Blair
Linda DeScenna
Linda Hunt
Linda Van Tulden
Lindsay Crouse
Lindsay Doran
Lindy Hemming
Linus Sandgren
Lionel Banks
Lionel Couch
Lionel Lindon
Lionel Newman
Lionel Richie
Lisa Bruce
Lisa Dean
Lisa Dean Kavanaugh
Lisa Fruchtman
Lisa Thompson
Lisa Westcott
Lisa Zeno Churgin
Lizzy Gardiner
Lloyd Phillips
Lois Burwell
Lon Bender
Lora Hirschberg
Loren L. Ryder
Lorne Peterson
Lorraine Bracco
Lou Brock
Lou Forbes
Louie Psihoyos
Louis Clyde Stoumen
Louis Diage
Louis Garfinkle
Louis L. Edemann
Louis Mesenkop
Louis Silvers
Loyal Griggs
Lt. John Koenig
Luc Besson
Luc Jacquet
Luca Guadagnino
Lucas Hedges
Luciana Arrighi
Lucile Watson
Lucinda Ballard
Lucy Sibbick
Ludovic Bource
Luis Bacalov
Luis Buñuel
Luis Puenzo
Luis Sequeira
Łukasz Żal
Luke Matheny
Lupita Nyong'o
Lyle Burbridge
Lyle R. Wheeler
Lyle Reifsnider
Lynette Howell Taylor
Lynn Appelle
Lynn Barber
Lynn Redgrave
Lynne Littman
Lynzee Klingman
