Adrien Brody
Al Pacino
Alan Arkin
Alec Guinness
Alejandro González Iñárritu
Alexandre Desplat
Alfonso Cuarón
Ang Lee
Anna Magnani
Anne Bancroft
Anthony Hopkins
Anthony Minghella
Anthony Quinn
Art Carney
Audrey Hepburn
Barbra Streisand
Barry Fitzgerald
Barry Levinson
Ben Johnson
Ben Kingsley
Benicio Del Toro
Bernardo Bertolucci
Bette Davis
Billy Wilder
Bing Crosby
Bob Fosse
Bong Joon Ho
Brad Pitt
Brie Larson
Broderick Crawford
Burl Ives
Burt Lancaster
Carol Reed
Casey Affleck
Cate Blanchett
Charles Coburn
Charles Laughton
Charlize Theron
Charlton Heston
Cher
Chris Cooper
Christian Bale
Christoph Waltz
Christopher Plummer
Christopher Walken
Clark Gable
Claudette Colbert
Cliff Robertson
Clint Eastwood
Colin Firth
Cuba Gooding Jr.
Damien Chazelle
Daniel Day-Lewis
Danny Boyle
David Lean
David Niven
Dean Jagger
Delbert Mann
Denzel Washington
Diane Keaton
Don Ameche
Donald Crisp
Dustin Hoffman
Ed Begley
Eddie Redmayne
Edmond O'Brien
Edmund Gwenn
Elia Kazan
Elizabeth Taylor
Ellen Burstyn
Emil Jannings
Emma Stone
Emma Thompson
Emmanuel Lubezki
Ernest Borgnine
Ethan Coen
F. Murray Abraham
Faye Dunaway
Forest Whitaker
Frances McDormand
Francis Ford Coppola
Frank Borzage
Frank Capra
Frank Lloyd
Frank Sinatra
Franklin J. Schaffner
Fred Zinnemann
Fredric March
Gary Cooper
Gary Oldman
Gene Hackman
Geoffrey Rush
George Arliss
George Burns
George C. Scott
George Chakiris
George Clooney
George Cukor
George Kennedy
George Roy Hill
George Sanders
George Stevens
Geraldine Page
Gig Young
Ginger Rogers
Glenda Jackson
Grace Kelly
Greer Garson
Gregory Peck
Gwyneth Paltrow
Haing S. Ngor
Halle Berry
Harold Russell
Heath Ledger
Helen Hayes
Helen Hunt
Helen Mirren
Henry Fonda
Hilary Swank
Holly Hunter
Hugh Griffith
Humphrey Bogart
Ingrid Bergman
J. K. Simmons
Jack Albertson
Jack Lemmon
Jack Nicholson
Jack Palance
James Cagney
James Cameron
James Coburn
James Dunn
James L. Brooks
James Stewart
Jamie Foxx
Jane Fonda
Jane Wyman
Janet Gaynor
Jared Leto
Jason Robards
Javier Bardem
Jean Dujardin
Jeff Bridges
Jennifer Jones
Jennifer Lawrence
Jeremy Irons
Jerome Robbins
Jessica Lange
Jessica Tandy
Jim Broadbent
Joan Crawford
Joan Fontaine
Joanne Woodward
Joaquin Phoenix
Jodie Foster
Joe Pesci
Joel Coen
Joel Grey
John Ford
John G. Avildsen
John Gielgud
John Houseman
John Huston
John Mills
John Ottman
John Schlesinger
John Wayne
Jon Voight
Jonathan Demme
José Ferrer
Joseph L. Mankiewicz
Joseph Schildkr
Judy Holliday
Julia Roberts
Julianne Moore
Julie Andrews
Julie Christie
Karl Malden
Kate Winslet
Katharine Hepburn
Kathryn Bigelow
Kathy Bates
Kevin Costner
Kevin Kline
Kevin Spacey
Laurence Olivier
Lee Marvin
Leo McCarey
Leonardo DiCaprio
Lewis Milestone
Lionel Barrymore
Liza Minnelli
Loretta Young
Lou Gossett, Jr.
Louise Fletcher
Ludwig Göransson
Luise Rainer
Maggie Smith
Mahershala Ali
Marie Dressler
Marion Cotillard
Mark Rylance
Marlee Matlin
Marlon Brando
Martin Balsam
Martin Landau
Martin Scorsese
Mary Pickford
Matthew McConaughey
Maximilian Schell
Mel Gibson
Melvyn Douglas
Meryl Streep
Michael Caine
Michael Cimino
Michael Curtiz
Michael Douglas
Michel Hazanavicius
Mike Nichols
Miloš Forman
Morgan Freeman
Natalie Portman
Nicolas Cage
Nicole Kidman
Norma Shearer
Norman Taurog
Oliver Stone
Olivia Colman
Olivia de Havilland
Patricia Neal
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peter Finch
Peter Jackson
Peter Ustinov
Philip Seymour Hoffman
Rami Malek
Ray Milland
Red Buttons
Reese Witherspoon
Regina King
Renée Zellweger
Rex Harrison
Richard Attenborough
Richard Dreyfuss
Robert Benton
Robert De Niro
Robert Donat
Robert Duvall
Robert Redford
Robert Wise
Robert Zemeckis
Roberto Benigni
Robin Williams
Rod Steiger
Roman Polanski
Ron Howard
Ronald Colman
Russell Crowe
Ruth E. Carter
Sally Field
Sam Mendes
Sam Rockwell
Sandra Bullock
Sean Connery
Sean Penn
Shirley Booth
Shirley MacLaine
Sidney Poitier
Simone Signoret
Sissy Spacek
Sophia Loren
Spencer Tracy
Steven Soderbergh
Steven Spielberg
Susan Hayward
Susan Sarandon
Sydney Pollack
Thomas Mitchell
Tim Robbins
Timothy Hutton
Tom Hanks
Tom Hooper
Tommy Lee Jones
Tony Richardson
Van Heflin
Victor Fleming
Victor McLaglen
Vincente Minnelli
Vivien Leigh
Wallace Beery
Walter Brennan
Walter Huston
Walter Matthau
Warner Baxter
Warren Beatty
William Friedkin
William Holden
William Hurt
William Wyler
Woody Allen
Yul Brynner
