S. H. Barnett
S. J. Perelman
Saar Klein
Sal Mineo
Sally Benson
Sally Hawkins
Sally Kellerman
Sally Menke
Salma Hayek
Sam Coslow
Sam Elliott
Sam Karmann
Sam Leavitt
Sam Mintz
Sam O'Steen
Sam Shepard
Sam Smith
Sam Spiegel
Sam Waterston
Sam Wood
Sam Zimbalist
Sammy Cahn
Sammy Fain
Samuel Coleridge-Taylor
Samuel E. Beetley
Samuel Goldwyn
Samuel Hoffenstein
Samuel L. Jackson
Samuel M. Comer
Sandra Adair
Sandy Dennis
Sandy Powell
Sandy Reynolds-Wasco
Santo Loquasto
Sanzo Wada
Saoirse Ronan
Sara Allgood
Sara Bennett
Sarah Greenwood
Sarah Kernochan
Sarah Miles
Sarah Monzani
Sarah Pillsbury
Sarah Siegel-Magness
Sarah Y. Mason
Saul Bass
Saul Chaplin
Saul J. Turell
Saul Zaentz
Scarlett Johansson
Scott A. Hecker
Scott Conrad
Scott Cutler
Scott E. Anderson
Scott Farrar
Scott Franklin
Scott Hicks
Scott Millan
Scott R. Fisher
Scott Rudin
Scott Silver
Scott Stokdyk
Seamus McGarvey
Sean Fine
Sean McKittrick
Sean Phillips
Serena Armitage
Serge Bourguignon
Sergio Diaz
Sessue Hayakawa
Seth Winston
Seton I. Miller
Seymour Felix
Shane Connaughton
Shane Vieau
Shannon Dill
Shannon McIntosh
Sharen Davis
Sharmeen Obaid-Chinoy
Shaun Tan
Shawn Christensen
Shawn Levy
Shawn Murphy
Sheldon Kahn
Shelley Levinson
Shelley Winters
Sheridan Gibney
Sherman Todd
Sherry Shourds
Shinobu Muraki
Shirley Booth
Shirley Jones
Shirley Knight
Shirley Russell
Siân Grigg
Sid Ramin
Sid Rogell
Sidney Buchman
Sidney Carroll
Sidney Franklin
Sidney Glazier
Sidney Howard
Sidney Lumet
Sidney Sheldon
Sidney Wolinsky
Siedah Garrett
Sigourney Weaver
Simon Beaufoy
Simon Bright
Simon Chinn
Simon Hayes
Simon Kaye
Simon Schiffrin
Simon Thompson
Simona Paggi
Sin-ae Kwak
Sinsaku Himeda
Skibo Productions
Skip Lievsay
Slawomir Idziak
So Matsuyama
Sofia Coppola
Sol C. Siegel
Sol Polito
Sonya Levien
Sounwave
Spike Jonze
Spike Lee
Spring Byington
Stacey Sher
Stacy Woodard
Stan Jolley
Stan Winston
Stanley Cortez
Stanley Donen
Stanley Holloway
Stanley Kramer
Stanley Kubrick
Stanley R. Jaffe
Stanley Shapiro
Stefan Ruzowitzky
Stefen Fangmeier
Stephan Dupuis
Stephen A. Rotter
Stephen Altman
Stephen B. Grimes
Stephen Bishop
Stephen Bosustow
Stephen Daldry
Stephen Dunn
Stephen E. Rivkin
Stephen Flick
Stephen Frears
Stephen Friedman
Stephen Gaghan
Stephen Goosson
Stephen Mirrione
Stephen Rea
Stephen Rosenbaum
Stephen Schwartz
Stephen Sondheim
Stephen Tenenbaum
Stephen Vincent Benét
Stephen Warbeck
Stephen Woolley
Stephenie McMillan
Steve Boeddeker
Steve Box
Steve Cantamessa
Steve Courtley
Steve Golin
Steve Gordon
Steve Kloves
Steve La Porte
Steve Maslow
Steve McQueen
Steve Pederson
Steve Preeg
Steve Shagan
Steve Starkey
Steve Tesich
Steve Tisch
Steven Bognar
Steven Haft
Steven M. Rales
Steven Morrow
Steven Okazaki
Steven Price
Steven Rosenblum
Steven Wright
Steven Zaillian
Stevie Wonder
Stewart Linder
Sting
Stirling Silliphant
Stu Linder
Stuart A. Reiss
Stuart Baird
Stuart Benjamin
Stuart Craig
Stuart Dryburgh
Stuart Gilmore
Stuart N. Lake
Stuart Robertson
Stuart Wilson
Stuart Wurtzel
Sue Marx
Sufjan Stevens
Susan Bode
Susan E. Morse
Susan Hannah Hadary
Susan Raymond
Susan Stroman
Susannah Grant
Susannah York
Susanne Bier
Suzanne Baker
Suzanne Benson
Suzanne Schiffman
Suzie Templeton
Sven Nykvist
Sydney Box
Sylvain Bellemare
Sylvester Stallone
Sylvia Miles
SZA
